Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt to equity,Price to Sales,Sales growth,EPS,Free Cash generated from EBIDTA,EVEBITDA,Price to book value,EV by FCF,Merged_data,URL
SMIFS Cap. Mkt.,508905,,Finance & Investments,58.99,11.03,32.97,0.0,0.36,828.57,15.82,30.64,0.58,0.0,0.14,389.04,4.83,-26.05,6.5,0.26,-4.4,508905.0,https://www.screener.in/company/508905/consolidated/
Smiths & Founder,513418,,Castings & Forgings,7.1,114.95,72.42,0.0,0.27,,3.13,15.07,4.25,0.12,6.21,11.47,0.06,95.56,65.47,3.82,466.5,513418.0,https://www.screener.in/company/513418/consolidated/
SML ISUZU,505192,SMLISUZU,Automobiles - LCVs / HCVs,2056.0,24.31,2977.51,0.78,46.39,45.93,746.1,18.13,23.81,1.48,1.29,18.3,84.63,-51.23,15.4,10.41,68.72,SMLISUZU,https://www.screener.in/company/SMLISUZU/consolidated/
Smruthi Organic,540686,,Pharmaceuticals - Indian - Bulk Drugs,150.2,452.44,171.93,1.0,-0.92,-140.17,27.27,-21.88,8.22,0.17,1.43,-18.3,0.33,-180.28,23.35,2.47,69.34,540686.0,https://www.screener.in/company/540686/consolidated/
SMS Lifesciences,540679,SMSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,920.3,43.78,276.7,0.16,6.47,561.83,89.99,41.21,6.86,0.57,0.9,-3.04,30.07,17.8,10.76,1.57,-13.38,SMSLIFE,https://www.screener.in/company/SMSLIFE/consolidated/
SMS Pharma.,532815,SMSPHARMA,Pharmaceuticals - Indian - Bulk Drugs,309.2,46.38,2619.11,0.1,16.33,75.97,164.45,21.51,11.22,0.49,3.55,24.51,6.67,-2.02,22.2,4.59,-397.18,SMSPHARMA,https://www.screener.in/company/SMSPHARMA/consolidated/
SMVD Poly Pack,,SMVD,Plastics Products,13.5,,13.54,0.0,1.55,,1.56,,-7.64,,0.55,-68.85,-53.62,311.66,-11.43,,9.43,SMVD,https://www.screener.in/company/SMVD/consolidated/
SNL Bearings,505827,,Bearings,357.0,16.48,128.88,1.82,2.07,35.29,11.46,1.15,18.88,0.0,2.7,-0.38,21.65,67.6,9.1,2.17,18.54,505827.0,https://www.screener.in/company/505827/consolidated/
Snowman Logistic,538635,SNOWMAN,Miscellaneous,74.98,98.74,1255.04,1.34,2.15,-57.84,126.54,12.63,7.13,0.66,2.49,20.52,0.76,107.93,14.06,3.0,21.27,SNOWMAN,https://www.screener.in/company/SNOWMAN/consolidated/
Sobha,532784,SOBHA,Construction,1743.15,358.3,17653.1,0.17,7.03,-85.53,762.86,-36.95,7.12,0.77,5.7,-6.44,4.59,163.93,47.57,7.42,18.3,SOBHA,https://www.screener.in/company/SOBHA/consolidated/
Sobhagya Mercant,512014,,Diversified - Medium / Small,45.6,3.31,38.3,0.0,3.94,-12.64,32.76,-28.24,33.79,0.29,0.32,10.39,13.79,-20.74,2.72,0.81,-13.53,512014.0,https://www.screener.in/company/512014/consolidated/
Sofcom Systems,538923,,Computers - Software - Medium / Small,38.99,95.29,16.2,0.0,-0.07,63.16,0.01,-75.0,4.54,0.01,45.0,-86.96,0.41,-37.5,67.63,3.02,-4.66,538923.0,https://www.screener.in/company/538923/consolidated/
Softrak Venture,531529,,Finance & Investments,15.5,32.5,69.87,0.0,0.0,-100.0,0.08,166.67,6.48,0.0,635.18,-80.7,0.48,16.61,24.16,1.54,-205.38,531529.0,https://www.screener.in/company/531529/consolidated/
Softsol India,532344,,Computers - Software - Medium / Small,307.95,93.36,454.65,0.0,2.6,-80.95,21.04,12.09,5.02,0.0,6.09,-9.6,7.38,-16.17,43.51,2.59,2501.94,532344.0,https://www.screener.in/company/532344/consolidated/
Softtech Enginee,543470,SOFTTECH,Computers - Software - Medium / Small,345.2,134.25,447.03,0.0,1.23,846.15,22.36,21.92,6.62,0.31,5.67,20.46,2.79,-90.01,20.47,3.51,-52.68,SOFTTECH,https://www.screener.in/company/SOFTTECH/consolidated/
Solar Industries,532725,SOLARINDS,Chemicals,10282.6,101.87,93112.52,0.08,242.71,14.05,1610.71,-16.48,32.47,0.34,15.34,-12.27,92.38,62.06,61.61,28.14,512.37,SOLARINDS,https://www.screener.in/company/SOLARINDS/consolidated/
Solara Active,541540,SOLARA,Pharmaceuticals - Indian - Bulk Drugs & Formln,654.15,,2359.73,0.0,-13.46,29.57,363.49,3.17,-8.65,1.08,1.77,-8.81,-117.87,-40.27,-49.1,3.36,72.72,SOLARA,https://www.screener.in/company/SOLARA/consolidated/
Solex Energy,,SOLEX,Electric Equipment,1538.9,141.02,1231.12,0.01,8.01,,272.89,,21.28,2.08,3.36,126.62,10.91,-27.59,43.51,26.62,-91.71,SOLEX,https://www.screener.in/company/SOLEX/consolidated/
Solid Stone Co,513699,,Trading,34.9,22.09,18.77,0.0,0.29,-12.12,7.28,-15.45,8.29,0.83,0.78,-22.01,1.58,131.94,8.66,0.87,12.45,513699.0,https://www.screener.in/company/513699/consolidated/
Solitaire Mach.,522152,,Engineering,96.05,25.06,43.61,1.82,0.67,4.69,6.62,-18.67,13.18,0.11,2.09,11.73,3.96,-69.76,14.72,2.42,-406.82,522152.0,https://www.screener.in/company/522152/consolidated/
Som Datt Finance,511571,,Finance & Investments,114.4,9.46,114.52,0.0,2.74,861.11,3.62,1306.67,46.59,0.0,7.62,1021.64,12.09,-17.88,8.22,3.23,67.06,511571.0,https://www.screener.in/company/511571/consolidated/
